MAV,RMS,V,WL,SSC,IEMG,LOGVAR,PF,TP,SE,FR,BW,PSD,P2P,MOV
0.006578,0.010870,0.000118,41.170200,4946.000000,65.774900,-9.043400,21.000000,0.000236,7.681700,0.215370,-104.600000,0.000236,0.001842,reposo
0.004515,0.006229,0.000039,30.910700,4997.000000,45.144700,-10.156900,120.000000,0.000078,7.760900,0.241010,-176.000000,0.000078,0.001064,reposo
0.006357,0.011773,0.000139,37.974200,4949.000000,63.569400,-8.883800,20.400000,0.000277,7.645400,0.296320,-183.200000,0.000277,0.001479,reposo
0.003688,0.004859,0.000024,25.854500,4937.000000,36.875700,-10.653700,120.000000,0.000047,7.720300,0.225790,0.000000,0.000047,0.001351,reposo
0.003706,0.004866,0.000024,26.061200,4967.000000,37.059000,-10.650900,120.000000,0.000047,7.727100,0.232970,-18.800000,0.000047,0.000917,reposo
0.003697,0.004879,0.000024,25.398300,4909.000000,36.970000,-10.645700,120.000000,0.000048,7.735700,0.238480,-39.800000,0.000048,0.001106,reposo
0.003841,0.005061,0.000026,26.505400,4892.000000,38.415100,-10.572300,120.000000,0.000051,7.704000,0.242170,-49.600000,0.000051,0.001072,reposo
0.004489,0.005934,0.000035,31.718000,4952.000000,44.887000,-10.253900,120.000000,0.000070,7.734500,0.223980,-0.200000,0.000070,0.001336,reposo
0.006037,0.008261,0.000068,37.175400,4960.000000,60.367300,-9.592200,120.000000,0.000137,7.711000,0.269570,-99.800000,0.000137,0.001668,reposo
0.004055,0.005382,0.000029,27.896000,4959.000000,40.549600,-10.449100,120.000000,0.000058,7.718200,0.236220,-120.000000,0.000058,0.001169,reposo
0.004233,0.005521,0.000030,29.198800,4948.000000,42.329200,-10.398400,120.000000,0.000061,7.707600,0.242510,0.000000,0.000061,0.001085,reposo
0.004181,0.005492,0.000030,29.188900,4935.000000,41.811400,-10.408900,120.000000,0.000060,7.716200,0.237890,-130.400000,0.000060,0.000739,reposo
0.004302,0.005632,0.000032,29.013000,4986.000000,43.021700,-10.358500,120.000000,0.000063,7.694900,0.238900,-90.800000,0.000063,0.001379,reposo
0.004282,0.005618,0.000032,29.207000,5000.000000,42.817100,-10.363600,120.000000,0.000063,7.703300,0.246220,0.000000,0.000063,0.001523,reposo
0.004341,0.005638,0.000032,29.482800,4947.000000,43.415100,-10.356500,120.000000,0.000064,7.708500,0.238610,0.000000,0.000064,0.001312,reposo
0.004184,0.005518,0.000030,27.502600,4971.000000,41.843300,-10.399300,120.000000,0.000061,7.688800,0.255500,-143.000000,0.000061,0.001053,reposo
0.004054,0.005381,0.000029,27.074500,4931.000000,40.537200,-10.449600,120.000000,0.000058,7.718300,0.251030,0.000000,0.000058,0.001140,reposo
0.003938,0.005237,0.000027,26.334300,4922.000000,39.382800,-10.503900,120.000000,0.000055,7.719700,0.245860,-56.600000,0.000055,0.001081,reposo
0.003982,0.005313,0.000028,25.917300,4881.000000,39.824500,-10.475000,120.000000,0.000056,7.703800,0.254500,-62.400000,0.000056,0.001172,reposo
0.003819,0.005084,0.000026,25.080800,4926.000000,38.194700,-10.563300,120.000000,0.000052,7.693500,0.248560,-42.800000,0.000052,0.000950,reposo
0.003879,0.005166,0.000027,25.028000,4909.000000,38.789200,-10.531200,120.000000,0.000053,7.678300,0.265120,-49.600000,0.000053,0.000925,reposo
0.004190,0.005585,0.000031,26.817100,4918.000000,41.897100,-10.375100,120.000000,0.000062,7.691500,0.263110,-67.000000,0.000062,0.001107,reposo
0.003971,0.005281,0.000028,26.556500,4917.000000,39.709100,-10.487200,120.000000,0.000056,7.686900,0.247950,-182.400000,0.000056,0.000797,reposo
0.003993,0.005266,0.000028,26.537500,4933.000000,39.924600,-10.492900,120.000000,0.000055,7.709900,0.252110,-6.200000,0.000055,0.001212,reposo
0.003762,0.004975,0.000025,24.760900,5027.000000,37.624300,-10.606400,120.000000,0.000050,7.682700,0.256080,-41.600000,0.000050,0.000893,reposo
0.003722,0.004944,0.000024,24.877900,4903.000000,37.220200,-10.619000,120.000000,0.000049,7.696300,0.245700,-116.200000,0.000049,0.000857,reposo
0.003713,0.004891,0.000024,24.701500,4942.000000,37.128400,-10.640700,120.000000,0.000048,7.686900,0.242410,0.000000,0.000048,0.001356,reposo
0.003874,0.005226,0.000027,25.581200,4945.000000,38.743700,-10.508200,120.000000,0.000055,7.686800,0.248190,-22.400000,0.000055,0.001105,reposo
0.003959,0.005271,0.000028,25.876200,4898.000000,39.593000,-10.491200,120.000000,0.000056,7.705800,0.254200,-16.400000,0.000056,0.001204,reposo
0.003935,0.005283,0.000028,26.014300,4874.000000,39.352900,-10.486500,120.000000,0.000056,7.674000,0.246270,-71.400000,0.000056,0.001098,reposo
0.003868,0.005156,0.000027,25.825000,5003.000000,38.682600,-10.535100,120.000000,0.000053,7.701400,0.251070,-169.800000,0.000053,0.000747,reposo
0.004044,0.005441,0.000030,26.341200,4944.000000,40.443700,-10.427600,120.000000,0.000059,7.709400,0.247270,0.000000,0.000059,0.001197,reposo
0.003541,0.004731,0.000022,22.935900,4896.000000,35.410000,-10.706900,120.000000,0.000045,7.705900,0.256140,-10.400000,0.000045,0.000999,reposo
0.003686,0.004909,0.000024,24.025700,4962.000000,36.862000,-10.633100,120.000000,0.000048,7.680100,0.257210,-24.800000,0.000048,0.001108,reposo
0.003616,0.004797,0.000023,23.367700,4924.000000,36.160800,-10.679400,120.000000,0.000046,7.679100,0.258260,0.000000,0.000046,0.001082,reposo
0.003526,0.004761,0.000023,22.807700,4940.000000,35.259300,-10.694500,120.000000,0.000045,7.692800,0.260670,-116.000000,0.000045,0.000843,reposo
0.003674,0.004978,0.000025,24.069300,4952.000000,36.744500,-10.605500,120.000000,0.000050,7.669100,0.254220,-26.600000,0.000050,0.001064,reposo
0.003585,0.004916,0.000024,24.136300,4929.000000,35.845800,-10.630300,120.000000,0.000048,7.756700,0.251540,-2.000000,0.000048,0.001044,reposo
0.004628,0.006280,0.000039,30.902200,4959.000000,46.276900,-10.140700,120.000000,0.000079,7.725100,0.234060,-129.800000,0.000079,0.000964,reposo
0.004217,0.005844,0.000034,27.349800,4853.000000,42.170100,-10.284700,120.000000,0.000068,7.721200,0.259420,-126.000000,0.000068,0.000857,reposo
0.004287,0.005943,0.000035,27.012700,4923.000000,42.865000,-10.250900,120.000000,0.000071,7.694200,0.259790,0.000000,0.000071,0.001563,reposo
0.003986,0.005608,0.000031,24.765800,4843.000000,39.860300,-10.367100,120.000000,0.000063,7.660000,0.258950,0.000000,0.000063,0.001198,reposo
0.004116,0.005770,0.000033,25.557400,4875.000000,41.161200,-10.310000,120.000000,0.000067,7.652300,0.269100,-87.200000,0.000067,0.001352,reposo
0.004156,0.005824,0.000034,25.606200,4930.000000,41.564200,-10.291300,120.000000,0.000068,7.654700,0.264090,-118.800000,0.000068,0.001173,reposo
0.004079,0.005733,0.000033,24.859200,4870.000000,40.792000,-10.323000,120.000000,0.000066,7.646400,0.260720,-11.400000,0.000066,0.001135,reposo
0.003922,0.005549,0.000031,23.516100,4928.000000,39.221000,-10.388100,120.000000,0.000062,7.645100,0.270460,-193.200000,0.000062,0.000778,reposo
0.004039,0.005674,0.000032,24.705700,4939.000000,40.395300,-10.343600,120.000000,0.000064,7.661700,0.264870,-0.200000,0.000064,0.001394,reposo
0.003918,0.005529,0.000031,24.128700,4911.000000,39.184400,-10.395200,120.000000,0.000061,7.679300,0.265200,-74.600000,0.000061,0.001072,reposo
0.003926,0.005562,0.000031,23.578900,4888.000000,39.256900,-10.383500,120.000000,0.000062,7.651400,0.270900,-0.200000,0.000062,0.001311,reposo
0.003899,0.005572,0.000031,23.946600,4918.000000,38.987700,-10.380000,120.000000,0.000062,7.639200,0.251960,-120.000000,0.000062,0.001158,reposo
0.004175,0.005962,0.000036,24.961900,4891.000000,41.752500,-10.244500,120.000000,0.000071,7.643500,0.272170,0.000000,0.000071,0.001510,reposo
0.004288,0.006080,0.000037,25.856500,4872.000000,42.881600,-10.205500,120.000000,0.000074,7.653900,0.261850,0.000000,0.000074,0.001789,reposo
0.004079,0.005734,0.000033,24.990800,4901.000000,40.791100,-10.322700,120.000000,0.000066,7.677800,0.257410,0.000000,0.000066,0.001504,reposo
0.003956,0.005632,0.000032,24.422400,4946.000000,39.562000,-10.358700,120.000000,0.000063,7.650800,0.268790,-95.000000,0.000063,0.000985,reposo
0.003987,0.005676,0.000032,24.474500,4908.000000,39.874200,-10.342800,120.000000,0.000064,7.646200,0.271640,-67.000000,0.000064,0.001059,reposo
0.003889,0.005522,0.000030,23.888600,4925.000000,38.886600,-10.398000,120.000000,0.000061,7.675600,0.268570,0.000000,0.000061,0.001252,reposo
0.004053,0.005714,0.000033,24.664400,4919.000000,40.534800,-10.329600,120.000000,0.000065,7.675500,0.263160,0.000000,0.000065,0.001291,reposo
0.004172,0.005872,0.000034,25.677200,4841.000000,41.718100,-10.274900,120.000000,0.000069,7.677000,0.262060,0.000000,0.000069,0.001478,reposo
0.004046,0.005645,0.000032,24.697500,4871.000000,40.456300,-10.353800,120.000000,0.000064,7.719500,0.254320,0.000000,0.000064,0.001373,reposo
0.004153,0.005823,0.000034,25.603500,4878.000000,41.527200,-10.291700,133.000000,0.000068,7.669300,0.258920,-129.400000,0.000068,0.000887,reposo
